,phrases,labels
5138,thermal–mechanical analysis of P91,Task
5139,P91,Material
5140,two-layer and unified visco-plasticity models,Process
5141,characterisation of the cyclic behaviour of the material,Task
5142,the material,Material
5143,incorporate the thermodynamics of ternary alloys and liquid diffusion-governed solidification kinetics into a multiphase volume average solidification model,Task
5144,ternary alloys,Material
5145,liquid diffusion-governed solidification kinetics,Material
5146,multiphase volume average solidification model,Process
5147,Back diffusion,Process
5148,thermodynamic data,Material
5149,tabulation and interpolation program,Material
5150,ISAT,Material
5151,In Situ Adaptive Tabulation,Material
5152,ISAT approach,Process
5153,ISAT,Material
5154,thermodynamic data,Material
5155,thermodynamic data,Material
5156,discretized volume elements,Material
5157,modification of the previous model using a linearized phase diagram,Process
5158,current model,Process
5159,online call of thermodynamic data,Process
5160,thermodynamic data,Material
5161,extended to consider the back diffusion into the solid,Task
5162,back diffusion,Process
5163,solid,Material
5164,modifications,Process
5165,perform casting process simulations with incorporated full diffusion-governed solidification kinetics,Task
5166,casting process simulations,Process
5167,full diffusion-governed solidification kinetics,Process
5168,ternary alloys,Material
5169,thermal spray process,Process
5170,thermal spray,Material
5171,modelling,Task
5172,providing some key insights for process design and operations,Task
5173,coating,Process
5174,processing,Process
5175,experimental studies,Task
5176,atomic level changes,Process
5177,MD simulation,Process
5178,MD,Material
5179,spray system,Process
5180,copper–copper particle,Material
5181,particle recrystallization and solidification,Process
5182,particle,Material
5183,deformation,Process
5184,particles,Material
5185,consecutive layer deposition,Process
5186,particles,Material
5187,particle,Material
5188,understanding individual particle impacts,Task
5189,particle–surface interaction mechanism,Process
5190,Reynolds number,Process
5191,particle,Material
5192,surface,Material
5193,coating,Process
5194,shock heating,Process
5195,engineering components,Material
5196,thermally sprayed,Process
5197,cooling,Process
5198,developing richer theoretical models for single or multiple particle impact,Task
5199,spraying tests,Task
5200,particle,Material
5201,Structural adhesives,Material
5202,bonding components,Material
5203,critical load bearing engineering structures,Material
5204,aerospace,Material
5205,automotives,Material
5206,adhesives,Material
5207,epoxy polymers,Material
5208,Epoxies,Material
5209,microstructure,Material
5210,fracture toughness,Process
5211,improving the fracture toughness of epoxy polymers,Task
5212,epoxy polymers,Material
5213,incorporating a second minority phase at the nano-scale,Process
5214,inorganic additives,Material
5215,silica,Material
5216,glass,Material
5217,alumina,Material
5218,nano-clays,Material
5219,carbon nanotubes,Material
5220,organic,Material
5221,rubber particles,Material
5222,Rubbery additives,Material
5223,core–shell rubber particles,Material
5224,curing,Process
5225,reaction induced phase separation mechanisms,Process
5226,energy dissipation mechanisms,Process
5227,rubber toughened epoxies,Material
5228,plastic void growth,Task
5229,shear band development,Task
5230,plastic void growth,Process
5231,shear band development,Process
5232,additives,Material
5233,hybrid material,Material
5234,synergistic toughening effects,Process
5235,carbon nanotubes,Material
5236,silica nanoparticles,Material
5237,rubber with silica nanoparticles,Material
5238,carbon nanotubes and silica nanoparticles,Material
5239,SW-SVR,Process
5240,micrometeorological data,Material
5241,standard algorithms,Process
5242,dynamic aggregation of models,Process
5243,D-SDC,Process
5244,SW-SVR,Process
5245,SW-SVR,Process
5246,training data,Material
5247,D-SDC,Process
5248,training data,Material
5249,D-SDC,Process
5250,SW-SVR,Process
5251,training data,Material
5252,D-SDC,Process
5253,SW-SVR,Process
5254,combination of several algorithms,Process
5255,kernel approximation,Process
5256,PLS regression,Process
5257,k-means,Process
5258,D-SDC,Process
5259,linear SVR,Process
5260,SW-SVR,Process
5261,tune the parameters,Process
5262,grid search,Process
5263,genetic algorithm,Process
5264,grid search,Process
5265,feature extraction,Task
5266,advanced machine learning methods,Process
5267,deep neural networks,Process
5268,muscles synergies extraction,Process
5269,utilized time-and-frequency EMG feature extraction methods,Process
5270,feature extraction methods,Process
5271,TD-PSD,Process
5272,DFT,Process
5273,Features,Process
5274,prosthesis controller,Process
5275,EMG pattern recognition systems,Process
5276,clinical testing,Task
5277,COAPT complete control system,Process
5278,performance,Material
5279,reducing the impact of the two dynamic factors,Task
5280,real-time control,Task
5281,data mining,Task
5282,dimensionality reduction,Task
5283,Principal Component Analysis method,Material
5284,PCA,Material
5285,the simplest version of PCA,Material
5286,linear PCA,Material
5287,finds the mutually-uncorrelated vectors,Process
5288,the projection of the samples generates the highest variances,Process
5289,a set of orthogonal vectors,Material
5290,the variance of the projection of the samples is maximum,Process
5291,N-dimensional vector space basis,Material
5292,N^ synthetic KPIs,Material
5293,up to N synthetic orthogonal KPIs,Task
5294,the first N^,Material
5295,EM sensors,Material
5296,relative permeability,Task
5297,difference in magnetic properties,Task
5298,electrical conductivity,Task
5299,microstructural phase balances,Task
5300,ferromagnetic steels,Material
5301,relative permeability,Task
5302,multi-frequency EM sensors,Material
5303,stainless steel powder,Material
5304,difference in magnetic properties,Process
5305,ferrite,Process
5306,ferromagnetic,Process
5307,austenite,Process
5308,paramagnetic,Process
5309,EM sensors,Material
5310,decarburisation,Task
5311,variation in ferrite content with depth,Task
5312,steel rod,Material
5313,steel,Material
5314,EM sensor signal,Process
5315,FE,Process
5316,finite element,Process
5317,EM properties of the individual phases,Process
5318,steel,Material
5319,overall EM properties,Process
5320,particular sensor geometry,Process
5321,steel,Material
5322,external circuits,Material
5323,tubular sensor,Material
5324,cylindrical sample,Material
5325,microstructures,Material
5326,sensor,Material
5327,EM sensor,Material
5328,fluid mechanics,Task
5329,surface suction,Process
5330,flow-control mechanism,Process
5331,reducing the thickness of the boundary layer and the magnitude of crossflow velocity,Task
5332,magnitude of crossflow velocity,Process
5333,swept wing,Material
5334,swept-wing,Material
5335,swept-wing flow,Process
5336,numerical and asymptotic approaches,Process
5337,increasing suction,Process
5338,increase in critical Reynolds numbers,Process
5339,narrowing in the range of unstable parameters,Process
5340,decrease in amplification rates,Process
5341,convective instability,Process
5342,absolute instability,Process
5343,"“Bödewadt, Ekman and von Kármán” (BEK) flows",Process
5344,reducing the thickness of the boundary layer,Process
5345,spiral vortices,Material
5346,laminar-turbulent transition,Process
5347,rotating disk,Material
5348,design of mobile-friendly unique identifiers,Task
5349,design of other text-based services,Task
5350,bespoke and adaptive keyboards,Material
5351,input devices,Material
5352,design of a service,Task
5353,mode-switching,Process
5354,designing services,Task
5355,Evolutionary algorithms,Process
5356,genetic population,Process
5357,genetic algorithm optimizer,Process
5358,Kalman filter,Process
5359,Probabilistic and stochastic approaches,Process
5360,search for local and global optima,Task
5361,cost function,Material
5362,Condensation form of sequential Monte Carlo sampling,Process
5363,estimate a cost function gradien,Task
5364,AAMM technique,Task
5365,1-tailed Wilcoxon signed rank test,Process
5366,AAMM technique,Task
5367,error curves,Material
5368,calibration scan,Process
5369,non-cardiac-gated sequence,Process
5370,error curves,Material
5371,AAMM,Task
5372,AAMM (no adapt.),Task
5373,AAMM,Task
5374,motion estimation,Material
5375,imaging,Process
5376,motion estimations,Material
5377,AAMM,Task
5378,calibration,Process
5379,"iUTAH “Utah Water Survey,”",Process
5380,Utah's adult population thinks about water issues,Task
5381,associated codebook,Process
5382,survey,Process
5383,perceptions of the adequacy of local water supplies,Material
5384,perceptions of the quality of local water resources,Material
5385,concern about a range of water and non-water issues,Material
5386,familiarity with water cost,Material
5387,awn-watering behaviors,Material
5388,participation in water based recreation,Material
5389,demographic attributes,Material
5390,description of the dataset,Process
5391,Supplementary material,Process
5392,complete survey instrument,Process
5393,Isogeometric analysis,Process
5394,IGA,Process
5395,numerical simulation method,Process
5396,NURBS-based representation of CAD models,Process
5397,physical domain is parameterized,Process
5398,splitting,Process
5399,sweeping,Process
5400,Galerkin projection,Process
5401,formulation of partial differential equations,Process
5402,isogeometric analysis,Process
5403,numerical methods,Process
5404,discuss the regularity properties of the test functions,Task
5405,consider several important classes of singularities of NURBS parameterizations,Task
5406,derive additional conditions which guarantee the regularity of the test functions,Task
5407,present a modification scheme,Task
5408,discretized function space,Process
5409,parameterized,Process
5410,CAD models,Process
5411,NURBS-based representation,Process
5412,NURBS objects,Material
5413,NURBS,Material
5414,NURBS surfaces,Material
5415,NURBS volumes,Material
5416,NURBS,Material
5417,NURBS basis functions,Process
5418,NURBS,Material
5419,modification scheme,Process
5420,knowledge-base merging,Process
5421,hard constraints,Process
5422,fusion of plain epistemic states,Process
5423,partial orderings,Process
5424,numerical plausibility degrees,Process
5425,hard (integrity) constraints,Process
5426,belief sets,Process
5427,AGM revision,Process
5428,knowledge-based merging,Process
5429,merging of integrity constraints,Process
5430,belief revision and merging,Task
5431,ordered structures,Material
5432,construct fusion rules,Process
5433,ranked models,Process
5434,anomaly detection,Task
5435,afore-described centralized methods,Material
5436,globally shared models,Material
5437,data mining,Task
5438,distance between data values,Material
5439,notion of locality,Task
5440,a specific distance metric such as Euclidean distance,Material
5441,compared to the value of its nearest neighbors,Process
5442,the notion of locality,Task
5443,a geographical distance,Material
5444,Many similar values,Material
5445,clusters,Material
5446,values that are less similar result in a lower density,Process
5447,cluster,Material
5448,Anomalies,Task
5449,can form a cluster,Process
5450,Determining if a datum is normal or anomalous,Task
5451,MWSN routing protocols,Process
5452,WSN,Process
5453,mobile ad hoc network,Process
5454,MANET,Process
5455,routing protocols,Process
5456,WSNs,Process
5457,MWSNs,Process
5458,sensors,Material
5459,route data,Process
5460,WSNs,Process
5461,MANET protocols,Process
5462,MWSNs,Process
5463,MWSN,Process
5464,MWSNs,Process
5465,MWSN,Process
5466,routing in a MWSN,Task
5467,MWSN routing,Process
5468,affective movie clip corpus,Material
5469,Emotional Movie Database,Material
5470,EMDB,Material
5471,Film Stim,Material
5472,test whether haptic patterns can convey or enhance the mood music,Task
5473,database collections,Material
5474,review,Process
5475,enhance the mood,Task
5476,EMDB,Material
5477,Film Stim database,Material
5478,English speaking participants,Material
5479,Film Stim selection,Material
5480,review of available database collections,Process
5481,Aspect-oriented Programming,Process
5482,AOP,Process
5483,solve the cross-cutting concerns,Task
5484,model to test aspect-oriented software,Task
5485,testing model,Process
5486,develop a new tool to implement the theoretical of automating select test case,Task
5487,Bank Account System,Process
5488,AOP,Process
5489,algorithm of selecting aspect relevant test cases,Process
5490,automating select test case,Process
5491,modification made to eliminate blooming and rusting,Task
5492,blooming,Process
5493,rusting,Process
5494,design of a varnish plant,Task
5495,pipelines,Material
5496,ductsand hot air receiving chambers,Material
5497,redesigning the varnish plant,Task
5498,heat energy,Process
5499,transferred into the air chambers,Task
5500,drying ofmatchets,Process
5501,absorption of the moisture,Process
5502,steel,Material
5503,Further studies,Task
5504,constant supply of hot air into the air chambers,Process
5505,exhaust gas,Material
5506,varnish plant,Material
5507,processing plant,Material
5508,Varnish Plant,Material
5509,hardening plant,Material
5510,varnish plant,Material
5511,air chambers,Material
5512,Digital libraries,Material
5513,e-learning,Process
5514,elimination of the time and space constraints,Process
5515,bricks-and-mortar libraries,Material
5516,acquire such knowledge and skills,Task
5517,overview of current trends in digital library research,Task
5518,highlights on the impact of information technology,Task
5519,library,Material
5520,digital library,Material
5521,improve the software development capabilities and innovation sense of students,Task
5522,software development,Process
5523,practical skills,Process
5524,software development process,Process
5525,“triple-driven” three-dimensional software development practical teaching system,Process
5526,software industry,Task
5527,moving plate recognition system,Process
5528,moving plate recognition algorithm,Process
5529,principal component analysis,Process
5530,PCA,Process
5531,color extraction.,Process
5532,PCA extraction algorithm,Process
5533,recognition,Process
5534,research on the moving plate recognition algorithm,Task
5535,analysis of moving plate recognition system's basic principles,Task
5536,moving plate recognition,Process
5537,PRS,Process
5538,moving plate recognition,Process
5539,applying the algorithm to PRS,Task
5540,knowledge,Process
5541,teaching,Process
5542,learning,Process
5543,implementation principle,Process
5544,curriculum design,Process
5545,education policy,Process
5546,improving the quality of teaching and learning on sport normal students,Task
5547,future research,Task
5548,factors on promoting the level of teaching and learning,Process
5549,process-driven model,Process
5550,administrative management system,Process
5551,overcome problems,Process
5552,processes are identified,Task
5553,educational administration,Process
5554,Bonita open solution,Material
5555,administrative system,Process
5556,understand processes they are involved,Process
5557,investigation,Process
5558,expert interviews,Process
5559,"investigates the curricula construction, curricula design and curricula content",Task
5560,theoretical framework,Process
5561,curricula design,Process
5562,investigation,Task
5563,lettered words,Material
5564,development of economy and culture,Process
5565,communication,Process
5566,lettered words,Material
5567,Lettered words,Material
5568,Chinese vocabulary,Material
5569,WTO,Material
5570,Ka la OK,Material
5571,MP3,Material
5572,vocabulary system,Process
5573,lettered words,Material
5574,Ecolinguistics,Process
5575,discuss the reasons of appearing the lettered words,Task
5576,branch of linguistic,Process
5577,combine the linguistic with the ecology,Process
5578,analyze the lettered words from the perspective of Ecolinguistics,Task
5579,aging population trend,Process
5580,explore the health status,Task
5581,formulate measures and methods of fitness,Task
5582,elderly fitness training,Process
5583,promote a nationwide fitness activities,Task
5584,exercise of scientific fitness,Process
5585,autonomic learning,Task
5586,low emotional involvement,Process
5587,web-based instructional environment,Material
5588,construct model,Process
5589,fusing cognition with emotion,Process
5590,online teaching reformation,Process
5591,propose a construct model,Task
5592,construct model,Process
5593,generation of logic reasoning questions,Process
5594,construct questions that are solvable with unique solutions,Process
5595,AI techniques,Process
5596,semantic networks,Process
5597,traditional question databases,Material
5598,memory constrained mobile platforms,Process
5599,question generation for job interview,Process
5600,algorithms for automatic generation of logic reasoning questions.,Task
5601,verbal questions,Material
5602,data and essays,Material
5603,discussing and analyzing the importance of hip-push applied in walking race,Task
5604,hip-push,Process
5605,sports biomechanics,Process
5606,objective analysis on the sports-biomechanics factors,Task
5607,theoretical basis,Task
5608,deep development and training of walking race,Task
5609,modeling data-centric Web services,Task
5610,relational databases,Material
5611,Linear Temporal First-Order Logic,Process
5612,LTL-FO,Process
5613,LTL-FO,Process
5614,data-centric Web services,Material
5615,verify Web service specifications,Task
5616,interact with users,Process
5617,logical formulas,Process
5618,control-flow constraints,Process
5619,state/output/action rules,Process
5620,reducing Web services to data-centric Web applications,Process
5621,data-centric Web applications,Task
5622,Web applications,Process
5623,data-centric Web services,Process
5624,produce successful product,Task
5625,production,Process
5626,product fails,Process
5627,management,Process
5628,role of software engineering courses,Task
5629,software project management course,Process
5630,survey of course curriculums,Task
5631,software industry,Process
5632,project management,Process
5633,proper software management trainings,Process
5634,computer engineering,Task
5635,software project management,Task
5636,software management,Task
5637,computer engineering,Task
5638,computer science and information system engineering,Task
5639,Yinchuan Plain,Material
5640,remote sensing images interpretation,Process
5641,multi-temporal remote sensing images,Material
5642,interactive interpretation of change patterns,Process
5643,construction land,Material
5644,Interpretation,Task
5645,remote sensing image,Material
5646,remote sensing data,Material
5647,identifies new increased construction land,Process
5648,recognition,Process
5649,construction land,Material
5650,field validation,Process
5651,construction land,Material
5652,remote sensing data,Material
5653,recognition of the smallest spot area,Process
5654,remote sensing images,Material
5655,knowledge base,Material
5656,Evolutionary Algorithms,Process
5657,stochastic optimization methods,Process
5658,natural evolution,Process
5659,population based search procedures,Process
5660,search mechanism,Process
5661,optimization problem,Process
5662,reviews the work carried out for diversity and convergence issues in EMO,Task
5663,EAs,Process
5664,EMO,Process
5665,agricultural products,Material
5666,stochastic yield,Process
5667,prices compensation strategy,Process
5668,yield,Process
5669,agricultural producing,Process
5670,agricultural products,Material
5671,fluctuations of yield,Process
5672,two- echelon supply chain,Process
5673,mathematical model is constructed,Task
5674,prices compensation strategy,Process
5675,agricultural products supply chain,Process
5676,stochastic yield,Process
5677,agricultural products,Material
5678,production plan,Process
5679,profit allocation,Process
5680,coordination problem,Process
5681,coordination problem of agricultural products supply chain,Task
5682,mathematical model,Process
5683,supply chain,Process
5684,agricultural products,Material
5685,sandstones,Material
5686,porosity,Process
5687,permeability,Process
5688,SDR,Process
5689,Schlumberger Doll Research,Process
5690,Timur-Coates models,Process
5691,NMR,Process
5692,calibrate,Process
5693,CSM,Process
5694,classification scale method,Process
5695,sandstones,Material
5696,porosity,Process
5697,permeability,Process
5698,permeability estimation models,Task
5699,Field examples,Material
5700,classification scale method,Process
5701,sandstone,Material
5702,permeability,Process
5703,permeability,Process
5704,porosity,Process
5705,experimental measurements,Process
5706,calibrate the involved model parameters,Task
5707,rationalization,Process
5708,supplies,Material
5709,reducing the costs,Process
5710,case studies,Task
5711,automation of procedures,Process
5712,web-based models,Process
5713,generation of value of supply chain,Process
5714,E-Procurement,Process
5715,role of e-procurement,Task
5716,supply chain,Process
5717,simulations,Process
5718,e-supply chain,Process
5719,e-procurement technology,Process
5720,hypergraph model,Task
5721,structural system modeling,Process
5722,reconfigurability analysis,Process
5723,modeling hypergraph,Process
5724,analysis task,Task
5725,bottom up analysis hypergraph model,Process
5726,system reconfigurability,Process
5727,verifying the existence of paths from the affected hyperedge,Process
5728,pedagogical example,Task
5729,design of high quality real-time rotation face detection architecture for gesture recognition of smart TV,Task
5730,face detection,Process
5731,MCT,Process
5732,Modified Census Transform,Process
5733,Adaboost learning algorithm,Process
5734,creating optimized learning data,Task
5735,Color Space Converter,Material
5736,"Image Resizer,",Material
5737,Noise Filter,Material
5738,Memory Controller Interface,Material
5739,Image Rotator,Material
5740,Image Scaler,Material
5741,MCT Generator,Material
5742,"Candidate Detector,",Material
5743,Confidence Switch,Material
5744,Confidence Mappe,Material
5745,"Position Resizer,",Material
5746,Data Grouper,Material
5747,Overlay Processor,Material
5748,Color Overlay Processer,Material
5749,face detection,Process
5750,real-time processing,Process
5751,hardware structure,Material
5752,rotation face detection architecture,Material
5753,gesture recognition,Process
5754,expectation-maximization algorithm,Process
5755,data-driven nonlinear models,Process
5756,parameter estimation,Task
5757,particle filters,Material
5758,EM algorithm,Process
5759,COx,Material
5760,simulation,Process
5761,PX oxidation,Process
5762,PX,Material
5763,particle filter,Material
5764,soft sensor,Material
5765,tail gas,Material
5766,integrating immersive virtual reality technologies into a three-dimensional virtual world,Task
5767,vAcademia,Material
5768,learning process,Process
5769,increasing the immersiveness of 3D virtual world experience,Task
5770,motion tracking,Process
5771,controlling the avatar,Process
5772,immersive projection,Process
5773,major types of learning scenarios,Task
5774,natural navigation,Process
5775,virtual reality technologies,Process
5776,educational platform,Material
5777,head-mounted display,Material
5778,problem that the diesel engine PT fuel system is unable to field maintain,Task
5779,signal acquisition,Process
5780,analysis,Process
5781,diesel engine PT fuel system,Material
5782,PT pump work Principle was analyzed,Task
5783,failure fuel pressure characteristics were analyzed,Task
5784,signal acquisition,Process
5785,analysis system,Process
5786,diagnose the diesel engine PT fuel system,Task
5787,detect the diesel engine PT fuel system state,Process
5788,diesel engine PT fuel,Material
5789,diesel engine PT fuel,Material
5790,PT pump,Material
5791,PT pump,Material
5792,diesel engine PT pump,Material
5793,diesel engine PT fuel,Material
5794,portable signal acquisition and analysis system,Material
5795,ANSYS,Material
5796,plastic analysis of beam section,Process
5797,elastic analysis,Process
5798,cellular beam,Material
5799,design methods,Task
5800,finite element analysis,Process
5801,procedure of design of cellular beam is illustrated,Task
5802,cellular beam,Process
5803,design method,Process
5804,design method,Process
5805,low-carbon consumption,Process
5806,low-carbon economic development,Process
5807,regional economic development,Process
5808,low-carbon consumption,Process
5809,low-carbon economy,Process
5810,development of low-carbon economy,Task
5811,economic development,Process
5812,technological innovation,Process
5813,carbon,Material
5814,carbon,Material
5815,carbon,Material
5816,carbon,Material
5817,carbon,Material
5818,studies,Material
5819,carbon nanotubes,Material
5820,Pseudo-nitzschia pungens,Material
5821,clone PP-07,Material
5822,golden alga Isochrysis galbana,Material
5823,clone TISO,Material
5824,toxic effects,Process
5825,nanotubes,Material
5826,algae,Material
5827,Pseudo-nitzschia pungens,Material
5828,Isochrysis galbana,Material
5829,incubated,Process
5830,presents the results of studies of the effect of multiwalled carbon nanotubes,Task
5831,cells,Material
5832,chloroplasts,Material
5833,cells,Material
5834,retrospective assessment of environmental carrying capacity,Task
5835,environmental management of reclamation,Process
5836,synthetic assessment method based on cloud theory is applied,Task
5837,cloud theory,Process
5838,environmental carrying capacity,Process
5839,field data,Material
5840,marine reclamation,Process
5841,obtain the historical development situation of reclamation domain,Task
5842,synthetic assessment method,Process
5843,improving the managed level,Task
5844,guiding the environmental management of reclamation,Task
5845,water-gas shift reaction,Process
5846,WGSR,Process
5847,chemical kinetics equipment,Process
5848,hydrogen recovery,Process
5849,industrial processes,Process
5850,hydrogen recovery,Process
5851,catalysts,Material
5852,calcite,Material
5853,coal char,Material
5854,natural catalysts,Material
5855,modified olivine,Material
5856,gasification process,Process
5857,heated,Process
5858,water,Material
5859,gas,Material
5860,hydrogen,Material
5861,hydrogen,Material
5862,hydrogen,Material
5863,reaction,Process
5864,catalyst,Material
5865,reaction,Process
5866,unburned residues from coal,Material
5867,FeSO4,Material
5868,inorganic flocculating agents,Material
5869,"Al2(SO4)3,",Material
5870,FeCl3,Material
5871,organic coagulant aid,Material
5872,PAM,Material
5873,treat the wastewater,Process
5874,single factor experiment,Task
5875,orthogonal design experiment,Task
5876,FeSO4,Material
5877,PAM,Material
5878,removal rate,Process
5879,analyzes the main factors,Task
5880,wastewater flocculation treatment,Process
5881,COD,Material
5882,wastewater flocculation,Material
5883,forecasting lightning,Process
5884,model,Process
5885,models,Process
5886,natural phenomenon,Process
5887,mathematical experimentation,Task
5888,micro scale plasmas,Material
5889,Schrödinger-electrostatic algorithm,Process
5890,detecting natural phenomena.,Process
5891,theoretical experimentation,Task
5892,Davis Weather Station,Process
5893,macro scale atmospheric plasma,Material
5894,lightning,Process
5895,air,Material
5896,lightning,Process
5897,air,Process
5898,air,Material
5899,upper atmosphere,Material
5900,lightning,Process
5901,track the air density,Task
5902,Design semantics,Task
5903,Design semantics,Task
5904,to learn from nature,Process
5905,Design semantics,Task
5906,space environment design,Task
5907,unity of art and science,Task
5908,annotation of form and the reflection of its symbolic meaning,Task
5909,explanation of the deposited human cultural spirit,Task
5910,natural and artificial forms,Material
5911,integration of human mode of existence and view on culture and art,Task
5912,observe the surroundings,Process
5913,economic development,Process
5914,culture change,Process
5915,sustainability of transportation system,Process
5916,transport system,Process
5917,transport system,Process
5918,proposed framework is applied,Task
5919,approach to measure its performance and diagnosis potential drawbacks,Task
5920,framework,Material
5921,intelligent management systems,Process
5922,increasing energy efficiency,Task
5923,AC and DC grids,Material
5924,devices composing the systems,Process
5925,devices composing the systems are considered,Task
5926,technical characteristics are described,Task
5927,problems of creating and introducing intelligent management systems,Task
5928,intelligent electric power distribution systems,Process
5929,creating and introducing intelligent management systems,Task
5930,ntelligent management systems,Process
5931,increasing energy efficiency,Task
5932,intelligent electric power distribution systems,Process
5933,AC and DC grids,Material
5934,devices composing the systems,Process
5935,devices composing the systems are considered,Task
5936,technical characteristics are described,Task
5937,MSTU «STANKIN»,Material
5938,MSTU «STANKIN»,Material
5939,computer-based climate simulations,Process
5940,massive climate data,Material
5941,explore the factors behide climate changes,Task
5942,combining window query and time-varying data mining techniques,Process
5943,algorithms,Process
5944,queries,Process
5945,3d time-varying datasets,Process
5946,time-varying data analysis algorithm,Process
5947,algorithms,Process
5948,implemented on and integrated into a visual analysis system,Task
5949,tiled-LCD ultra-resolution display,Material
5950,expansion of computer-based climate simulations,Task
5951,visualization and analysis of massive climate data,Task
5952,several datasets from practical applications,Material
5953,analyzing big data,Task
5954,Improving as well as evaluating the performance,Task
5955,High Performance Computing,Task
5956,migrating them to Cloud environments,Process
5957,Cloud environments,Material
5958,poor network performance,Process
5959,heterogeneous and dynamic environments,Process
5960,execution of HPC applications in Cloud,Process
5961,Cloud,Material
5962,proposes a new approach to improve the performance and scalability of HPC applications,Task
5963,Amazon's HPC Cloud,Material
5964,speed up,Process
5965,scale up,Process
5966,response rate,Process
5967,parallel efﬁciency,Process
5968,Cloud,Material
5969,HPC cluster,Material
5970,EC2 Cloud system,Material
5971,"deploying on-demand, small sized HPC applications",Process
5972,HPC,Task
5973,high performance and Cloud computing,Task
5974,HPC applications,Task
5975,HPC applications,Task
5976,HPC applications,Task
5977,extended version of the graph-based unsupervised Word Sense Disambiguation algorithm,Task
5978,Word Sense Disambiguation algorithm,Process
5979,algorithm,Process
5980,spreading activation scheme,Process
5981,text words,Material
5982,large wordnet,Material
5983,built on the basis of the text words and a large wordne,Process
5984,algorithm,Process
5985,English and Princeton WordNet,Material
5986,Polish and plWordNet,Material
5987,extension,Process
5988,corpus-derived Measure of Semantic Relatedness,Process
5989,extended algorithm,Process
5990,manually disambiguated corpus,Material
5991,disambiguation,Process
5992,document clustering task,Task
5993,Sentence reduction,Task
5994,text summarization,Task
5995,natural language processing,Task
5996,generates sentence reduction,Task
5997,Vietnamese text summarization,Process
5998,Bayesian Network model,Process
5999,Bayesian network model,Process
6000,best likelihood short sentence,Task
6001,compare difference of probability,Process
6002,980 sentences,Material
6003,generating sentence reduction,Process
6004,Knowledge Management,Task
6005,KM,Task
6006,Knowledge Management System,Process
6007,KMS,Process
6008,defects when existing methods about access control and recommendation are deployed in KMS are analyzed,Task
6009,extended,Process
6010,Role-Based Access Contro,Process
6011,RBAC,Process
6012,hybrid recommendation approach,Process
6013,Knowledge Management System,Process
6014,real-life system,Process
6015,verify the proposed methodology,Task
6016,Knowledge Management,Task
6017,KMS,Process
6018,nonlinear wave equations,Process
6019,investigate mathematically,Task
6020,analytical method,Process
6021,Exponential Time Differencing,Process
6022,ETD,Process
6023,minimum stages,Material
6024,computational duration,Process
6025,stability characteristicsupon,Process
6026,nonlinear wave equations,Material
6027,resolving nonlinear wave equations,Task
6028,solves the diagonal example of Kawahara equation,Task
6029,ETD Runge-Kutta 4 technique,Process
6030,Matlab programs,Material
6031,Contractor selection,Task
6032,project time and cost,Material
6033,quality,Material
6034,project managers,Material
6035,determine the project time and cost,Task
6036,un-experienced managers,Material
6037,learnable property,Process
6038,quantify the quality obtained for a gas well drilling project,Task
6039,gas well drilling project,Process
6040,objectives,Material
6041,(time,Material
6042,cost,Material
6043,quality,Material
6044,contractor selection problem,Task
6045,optimization problem,Task
6046,NSGA-II algorithm,Process
6047,sensitivity analysis,Process
6048,project time and cost,Material
6049,regression analysis,Task
6050,calculate the Journal Influence Score,Task
6051,Journal Influence Score,Process
6052,Influence Score,Process
6053,scholarly journals,Material
6054,scientific influence,Process
6055,Journal Influence Score,Process
6056,compared with the SCImago Journal Score,Task
6057,SCImago Journal Score,Process
6058,calculating scientific impact of journals,Task
6059,measure the scientific influence of scholarly journals,Task
6060,regression analysis based method,Process
6061,using various factors in a weighted manner,Process
6062,tele-operated mobile robot system,Process
6063,old age surveillance,Task
6064,autonomous mode,Process
6065,navigates in the environment,Process
6066,search for unusual situation,Process
6067,elderly people,Material
6068,lying on the floor,Process
6069,patient,Material
6070,informs the user,Process
6071,switches the control mode from autonomous to haptic based,Process
6072,autonomous mode,Process
6073,visual sensor and landmarks to monitor,Task
6074,microphone,Material
6075,speaker,Material
6076,monitor,Material
6077,communicate,Process
6078,remote place,Material
6079,vital sensors,Process
6080,patient's condition,Material
6081,robot,Material
6082,robot,Material
6083,tele-operated mobile robot system,Material
6084,robot,Material
6085,robot,Material
6086,network virtualization technology,Task
6087,new generation network technologies,Task
6088,rapid changing for a topology of a virtual network,Task
6089,virtual network construction method,Process
6090,shortest path betweenness,Process
6091,proposed method,Process
6092,service provider,Material
6093,reconfiguration of the constructed virtual network,Process
6094,constructed virtual network,Material
6095,service provider,Material
6096,reconfigures the topology of the constructed virtual network,Process
6097,constructed virtual network,Material
6098,shortest path betweenness,Process
6099,simulation,Process
6100,virtual network,Material
6101,data,Material
6102,Cloud Computing provider,Material
6103,excessive marketing,Process
6104,cloud computing security,Task
6105,Cloud Computing,Task
6106,"confidentiality, integrity, reliability and consistency",Process
6107,CIRC,Process
6108,future cloud strategy,Process
6109,Multi-Clouds,Process
6110,Cloud of Clouds,Process
6111,Interclouds,Process
6112,security limitations,Process
6113,single Cloud,Process
6114,usefulness of adopting rather Multi-Clouds strategy,Task
6115,Multi-Clouds strategy,Process
6116,security risks,Process
6117,DepSky,Material
6118,virtual storage system,Material
6119,better availability and high confidentiality,Process
